date,open,high,low,close,volume
2025-06-09,2293.1569526231265,2337.6362900662475,2293.1569526231265,2307.9833984375,365159
2025-06-10,2312.925557017838,2327.752002896157,2288.2148138873054,2303.041259765625,409637
2025-06-11,2303.041191117204,2337.63623046875,2293.1568941596192,2337.63623046875,292418
2025-06-12,2332.6941016454352,2352.462695727176,2327.751953125,2327.751953125,338061
2025-06-13,2312.925557017838,2357.4048946527964,2298.0991111395183,2303.041259765625,423453
2025-06-16,2303.041200799457,2332.694091796875,2298.0990522998873,2332.694091796875,221776
2025-06-17,2332.694052816439,2382.115536986279,2322.8097559824714,2352.462646484375,637341
2025-06-18,2352.462646484375,2377.173388569295,2312.9254591485033,2352.462646484375,562637
2025-06-19,2352.462695727176,2362.3469927680467,2327.751953125,2327.751953125,198446
2025-06-20,2337.6362700309833,2352.4627157182836,2317.86767578125,2317.86767578125,372377
2025-06-23,2307.9834588106696,2307.9834588106696,2263.50412020404,2278.33056640625,487495
2025-06-24,2303.041171875,2352.4626562500002,2303.041171875,2347.5205078125,428184
2025-06-25,2352.4626759051266,2387.057715256673,2322.809785032373,2337.63623046875,487301
2025-06-26,2352.4627460266897,2357.4048946527964,2288.2148138873054,2303.041259765625,588607
2025-06-27,2312.925497798596,2332.694091796875,2288.214755300748,2332.694091796875,510327
2025-06-30,2337.636201233423,2362.346943318343,2337.636201233423,2352.462646484375,369369
2025-07-01,2367.289161405584,2387.057755655317,2312.9255272188166,2317.86767578125,489199
2025-07-02,2312.9255272188166,2337.6362700309833,2312.9255272188166,2317.86767578125,174124
2025-07-03,2322.8098845842333,2337.6363306560474,2288.21484375,2288.21484375,300417
2025-07-04,2288.2147165370357,2307.9833102004227,2223.966787131028,2228.908935546875,563498
2025-07-07,2228.909076332773,2238.7933737887943,2149.834696684604,2159.718994140625,753503
2025-07-08,2154.776896158854,2154.776896158854,2130.0661519368487,2135.00830078125,419743
2025-07-09,2139.9503992285827,2189.3718865086885,2139.9503992285827,2159.718994140625,347190
2025-07-10,2174.5454302226026,2184.429727632705,2149.8346866973457,2164.6611328125,481833
2025-07-11,2115.2396958766412,2283.272755829458,2090.5289517659326,2258.56201171875,1704524
2025-07-14,2258.561845877123,2258.561845877123,2189.3717674476266,2219.024658203125,559008
2025-07-15,2209.1403322473034,2238.7932226130392,2199.256035458725,2233.85107421875,364217
2025-07-16,2223.966940174932,2293.157022758152,2223.966940174932,2273.388427734375,697486
2025-07-17,2278.3304970244058,2317.867685692942,2253.6197541065703,2312.925537109375,620553
2025-07-18,2332.6941855428645,2431.5371595065453,2322.8098881464966,2406.826416015625,1375127
2025-07-21,2401.8842276206083,2431.5371193196283,2391.999930387602,2426.594970703125,751634
2025-07-22,2426.595010808361,2471.0743490920177,2396.942118619257,2406.826416015625,982838
2025-07-23,2421.6527647891285,2421.6527647891285,2332.694091796875,2332.694091796875,666805
2025-07-24,2352.4628499348955,2372.2314453125,2342.5785522460938,2372.2314453125,577611
2025-07-25,2367.2891312938623,2367.2891312938623,2327.7519432973054,2332.694091796875,219820
2025-07-28,2347.5205771943442,2347.5205771943442,2307.9833885258076,2312.925537109375,265550
2025-07-29,2322.8098845842333,2322.8098845842333,2268.446248987581,2288.21484375,420595
2025-07-30,2303.0412399422407,2317.867685692942,2288.2147941915396,2312.925537109375,327542
2025-07-31,2317.8676365535807,2337.63623046875,2293.1568941596192,2337.63623046875,323544
2025-08-04,2298.0990138975512,2357.4047949013593,2288.2147170635835,2352.462646484375,355305
2025-08-05,2357.404958677686,2396.942148760331,2352.4628099173556,2392.0,468093
2025-08-06,2391.999823932128,2416.710565914898,2357.40478515625,2357.40478515625,319059
2025-08-07,2396.942169062824,2426.5950618759725,2377.1735738540588,2382.11572265625,595377
2025-08-08,2401.8843281006366,2426.595072216898,2377.173583984375,2377.173583984375,438702
2025-08-11,2387.0578714584412,2387.0578714584412,2357.404978645293,2382.11572265625,170416
2025-08-12,2387.0576657091724,2406.82625921401,2362.346923828125,2362.346923828125,338533
2025-08-13,2387.0578512396696,2431.537190082645,2367.289256198347,2392.0,600078
2025-08-14,2410.0,2425.0,2385.0,2395.0,262248
2025-08-15,2405.0,2410.0,2370.0,2370.0,255641
2025-08-18,2365.0,2420.0,2345.0,2380.0,418148
2025-08-19,2375.0,2420.0,2365.0,2365.0,256409
2025-08-20,2360.0,2375.0,2325.0,2335.0,323604
2025-08-21,2350.0,2405.0,2350.0,2365.0,343236
2025-08-22,2370.0,2380.0,2350.0,2360.0,166273
2025-08-25,2380.0,2395.0,2360.0,2370.0,253348
2025-08-26,2370.0,2400.0,2370.0,2385.0,257238
2025-08-27,2405.0,2425.0,2395.0,2395.0,345223
2025-08-28,2415.0,2420.0,2390.0,2395.0,255367
