date,open,high,low,close,volume
2024-08-29,224.39999389648438,228.75,222.8000030517578,227.4499969482422,7239215
2024-08-30,229.5,231.0,228.14999389648438,229.89999389648438,3238223
2024-09-02,232.5500030517578,233.0500030517578,227.14999389648438,228.0,4391434
2024-09-03,228.0,229.9499969482422,224.89999389648438,225.25,4108673
2024-09-04,203.3000030517578,210.5500030517578,199.9499969482422,203.5500030517578,18841700
2024-09-05,208.8000030517578,211.8000030517578,204.3000030517578,205.64999389648438,7224698
2024-09-06,206.89999389648438,211.5,203.75,210.64999389648438,7090746
2024-09-09,201.14999389648438,205.5500030517578,200.1999969482422,205.0500030517578,10644781
2024-09-10,207.5,207.85000610351562,201.60000610351562,204.14999389648438,8366069
2024-09-11,204.0500030517578,205.5,202.6999969482422,202.6999969482422,4331567
2024-09-12,213.1999969482422,218.0500030517578,212.14999389648438,216.75,10035264
2024-09-13,217.8000030517578,218.6999969482422,216.1999969482422,218.6999969482422,4344249
2024-09-16,219.0,220.10000610351562,217.85000610351562,219.60000610351562,3795214
2024-09-18,218.5,219.8000030517578,215.0,216.0500030517578,4662910
2024-09-19,217.0500030517578,223.75,215.75,223.35000610351562,5469987
2024-09-20,230.0500030517578,231.0,226.0500030517578,226.0500030517578,5882642
2024-09-23,228.60000610351562,230.10000610351562,227.64999389648438,229.1999969482422,2878832
2024-09-24,228.10000610351562,232.25,225.5,232.25,5054298
2024-09-25,238.5,239.9499969482422,237.60000610351562,239.1999969482422,6032022
2024-09-26,243.3000030517578,244.3000030517578,240.85000610351562,241.8000030517578,4630020
2024-09-27,245.39999389648438,246.5500030517578,241.0500030517578,241.5,6185111
2024-09-30,237.35000610351562,237.8000030517578,228.9499969482422,228.9499969482422,13658985
2024-10-01,230.25,231.35000610351562,228.85000610351562,230.0,4620362
2024-10-04,229.8000030517578,232.39999389648438,227.25,228.10000610351562,4449640
2024-10-07,233.89999389648438,238.4499969482422,233.60000610351562,238.1999969482422,7272067
2024-10-08,234.5500030517578,235.0,230.25,233.89999389648438,4988908
2024-10-09,239.25,240.0,236.0,236.0,4584251
2024-10-11,239.0,243.35000610351562,239.0,241.5500030517578,5622498
2024-10-14,241.35000610351562,243.85000610351562,239.0500030517578,243.0500030517578,4531725
2024-10-15,245.60000610351562,250.8000030517578,245.5,249.39999389648438,5884380
2024-10-16,241.4499969482422,247.0500030517578,240.3000030517578,243.5,6825647
2024-10-17,244.35000610351562,246.9499969482422,241.85000610351562,245.10000610351562,3925328
2024-10-18,257.04998779296875,258.45001220703125,252.4499969482422,253.89999389648438,11782914
2024-10-21,257.79998779296875,258.04998779296875,254.0,254.1999969482422,3237955
2024-10-22,251.5500030517578,253.5,248.85000610351562,253.5,4350416
2024-10-23,250.6999969482422,252.10000610351562,248.85000610351562,249.6999969482422,4491839
2024-10-24,249.6999969482422,250.85000610351562,245.85000610351562,246.89999389648438,4913126
2024-10-25,249.10000610351562,250.85000610351562,247.5500030517578,250.5,2991270
2024-10-28,253.85000610351562,254.39999389648438,246.3000030517578,248.35000610351562,5921357
2024-10-29,242.5,242.5500030517578,235.1999969482422,240.0,13126544
2024-10-30,242.60000610351562,244.14999389648438,238.39999389648438,239.0500030517578,4318744
2024-11-01,227.9499969482422,237.75,227.5,236.64999389648438,8029384
2024-11-04,237.89999389648438,242.1999969482422,237.0,241.9499969482422,4554591
2024-11-05,238.35000610351562,245.5,238.14999389648438,243.0,6350085
2024-11-06,244.39999389648438,250.75,242.89999389648438,246.75,7573487
2024-11-07,245.4499969482422,253.1999969482422,245.3000030517578,251.64999389648438,9569731
2024-11-08,256.1000061035156,257.20001220703125,252.5,254.14999389648438,7407502
2024-11-11,253.9499969482422,253.9499969482422,248.39999389648438,253.64999389648438,7501845
2024-11-12,245.4499969482422,246.5,239.6999969482422,239.6999969482422,11653328
2024-11-13,239.5,241.39999389648438,238.39999389648438,238.5,5852881
2024-11-14,238.35000610351562,238.35000610351562,232.5,234.10000610351562,8249915
2024-11-15,236.1999969482422,239.39999389648438,234.6999969482422,238.0,4369615
2024-11-18,236.0500030517578,236.5500030517578,231.89999389648438,232.10000610351562,6530589
2024-11-19,234.0,240.25,232.60000610351562,238.39999389648438,5255546
2024-11-20,236.1999969482422,236.1999969482422,236.1999969482422,236.1999969482422,24378
2024-11-21,231.85000610351562,234.5500030517578,230.35000610351562,232.5,5058128
2024-11-22,236.5,241.3000030517578,236.5,240.39999389648438,5346519
2024-11-25,243.5,245.10000610351562,240.5,241.0,4707939
2024-11-26,236.64999389648438,236.64999389648438,232.35000610351562,233.64999389648438,6956630
2024-11-27,233.64999389648438,233.6999969482422,226.60000610351562,226.89999389648438,7127477
2024-11-28,227.14999389648438,227.14999389648438,222.0,225.5500030517578,6931038
2024-11-29,220.89999389648438,228.25,219.85000610351562,227.25,5130863
2024-12-02,231.10000610351562,235.9499969482422,231.10000610351562,235.5500030517578,5741232
2024-12-03,241.3000030517578,242.85000610351562,239.64999389648438,241.14999389648438,6314121
2024-12-04,243.14999389648438,245.0,241.4499969482422,245.0,5501401
2024-12-05,245.9499969482422,246.39999389648438,244.25,245.35000610351562,4376797
2024-12-06,245.89999389648438,246.6999969482422,242.6999969482422,244.35000610351562,4957024
2024-12-09,245.3000030517578,245.64999389648438,243.5500030517578,244.1999969482422,2253877
2024-12-10,244.4499969482422,246.6999969482422,240.85000610351562,241.4499969482422,4544545
2024-12-11,237.89999389648438,240.9499969482422,236.5,237.25,4592044
2024-12-12,241.85000610351562,243.9499969482422,241.3000030517578,241.39999389648438,3644660
2024-12-13,239.1999969482422,241.5,237.89999389648438,240.35000610351562,3735970
2024-12-16,245.0,245.35000610351562,239.0,239.0,5926846
2024-12-17,242.0,244.1999969482422,241.35000610351562,241.75,3652593
2024-12-18,239.9499969482422,244.0,238.4499969482422,241.75,3286525
2024-12-19,235.0,236.85000610351562,234.0,236.1999969482422,8139271
2024-12-20,234.0,234.64999389648438,230.5,231.75,5628591
2024-12-23,237.10000610351562,242.89999389648438,236.8000030517578,242.89999389648438,6910182
2024-12-24,245.3000030517578,245.9499969482422,242.89999389648438,243.0500030517578,4154964
2024-12-25,245.0,245.64999389648438,243.5,245.39999389648438,3140374
2024-12-26,245.5500030517578,246.3000030517578,244.5500030517578,244.8000030517578,1710477
2024-12-27,243.5,246.3000030517578,243.0,246.0500030517578,2885783
2024-12-30,243.60000610351562,245.39999389648438,242.0500030517578,242.1999969482422,1827856
2024-12-31,239.35000610351562,240.89999389648438,237.8000030517578,240.35000610351562,3495403
2025-01-02,238.0,238.35000610351562,232.6999969482422,234.4499969482422,6215737
2025-01-03,238.35000610351562,240.60000610351562,236.85000610351562,238.10000610351562,3758671
2025-01-06,244.8000030517578,251.25,244.10000610351562,251.14999389648438,9855775
2025-01-07,257.75,258.04998779296875,254.0500030517578,254.0500030517578,6232015
2025-01-08,250.35000610351562,252.0,247.75,248.39999389648438,3748147
2025-01-09,246.1999969482422,247.25,240.9499969482422,241.5,4956875
2025-01-10,240.3000030517578,241.6999969482422,237.89999389648438,240.3000030517578,3669825
2025-01-13,238.1999969482422,238.6999969482422,227.14999389648438,229.0,11203020
2025-01-14,231.3000030517578,233.0500030517578,228.8000030517578,232.5500030517578,3923743
2025-01-15,232.0,232.5500030517578,228.1999969482422,228.60000610351562,3157831
2025-01-16,237.39999389648438,240.85000610351562,236.60000610351562,237.85000610351562,6797761
2025-01-17,240.10000610351562,240.64999389648438,235.85000610351562,239.35000610351562,4325497
2025-01-20,240.4499969482422,245.0,240.4499969482422,244.14999389648438,4844541
