date,open,high,low,close,volume
2024-08-28,176.0,183.5,174.0,177.0,14573000
2024-08-29,175.0,192.0,174.0,189.5,19995000
2024-08-30,191.5,192.0,184.5,189.0,12767000
2024-09-02,189.5,190.5,180.0,187.5,10782000
2024-09-03,189.5,192.0,179.0,182.0,12510000
2024-09-04,166.0,184.0,165.0,174.5,12999000
2024-09-05,180.0,180.0,171.5,171.5,6853000
2024-09-06,173.5,176.5,169.5,171.0,4778000
2024-09-09,166.0,172.0,163.0,166.0,7239000
2024-09-10,169.0,172.0,161.5,164.5,7790000
2024-09-11,165.5,166.0,157.0,157.0,3352000
2024-09-12,162.5,170.0,161.0,169.5,6045000
2024-09-13,170.0,171.5,159.0,162.5,6949000
2024-09-16,164.0,165.5,161.0,161.0,3476000
2024-09-18,160.5,177.0,160.5,177.0,11700000
2024-09-19,178.0,183.0,174.0,181.5,22798000
2024-09-20,183.5,184.5,176.5,178.5,8975000
2024-09-23,180.0,185.5,176.0,176.5,9800000
2024-09-24,176.5,190.0,176.0,186.5,15856000
2024-09-25,188.0,196.0,181.5,185.0,19618000
2024-09-26,188.0,194.5,185.5,194.5,11846000
2024-09-27,196.5,198.0,175.5,175.5,27251000
2024-09-30,175.5,180.5,174.5,178.0,9396000
2024-10-01,178.5,193.0,178.0,191.5,24358000
2024-10-04,193.5,198.0,186.0,194.5,18903000
2024-10-07,201.0,213.5,191.0,213.5,30056000
2024-10-08,216.0,234.5,212.0,234.5,44846000
2024-10-09,239.5,257.0,235.5,247.5,52017000
2024-10-11,249.0,258.0,243.5,246.0,29450000
2024-10-14,245.0,252.0,239.0,249.5,3835000
2024-10-15,252.5,254.0,236.5,239.0,3578000
2024-10-16,235.0,238.0,228.0,237.0,3362000
2024-10-17,237.0,240.0,232.5,235.0,1576000
2024-10-18,237.5,238.0,231.5,231.5,1358000
2024-10-21,234.5,247.0,234.5,243.5,1989000
2024-10-22,242.0,245.5,240.5,244.5,1096000
2024-10-23,242.0,253.0,242.0,250.0,2014000
2024-10-24,249.0,251.0,232.5,234.0,2827000
2024-10-25,234.0,240.0,231.0,233.5,1650000
2024-10-28,232.5,232.5,210.5,211.0,13858000
2024-10-29,208.5,214.0,201.0,207.5,14349000
2024-10-30,207.5,212.5,203.5,209.0,5295000
2024-11-01,203.5,214.0,203.5,207.0,6046000
2024-11-04,205.5,223.5,205.5,213.0,14792000
2024-11-05,212.0,216.0,210.0,210.0,1107000
2024-11-06,208.0,208.0,202.5,204.5,1220000
2024-11-07,203.0,212.0,203.0,210.5,566000
2024-11-08,216.5,218.0,212.5,213.0,624000
2024-11-11,206.0,212.5,206.0,212.0,587000
2024-11-12,214.0,215.0,211.0,212.0,315000
2024-11-13,212.0,212.0,206.5,208.0,291000
2024-11-14,212.0,213.0,207.0,209.0,267000
2024-11-15,210.0,210.0,201.5,203.5,561000
2024-11-18,203.5,203.5,184.0,184.0,1156000
