date,open,high,low,close,volume
2024-08-28,111.0,112.0,107.5,109.0,5994000
2024-08-29,108.0,113.0,106.5,106.5,6821000
2024-08-30,107.5,113.0,107.0,109.0,7014000
2024-09-02,110.5,111.5,106.5,110.5,4906000
2024-09-03,116.0,121.5,112.5,114.0,25695000
2024-09-04,106.0,109.0,103.0,103.5,9598000
2024-09-05,106.5,106.5,100.5,102.0,4359000
2024-09-06,101.0,102.0,95.0999984741211,96.30000305175781,5691000
2024-09-09,92.5999984741211,97.5999984741211,92.4000015258789,96.80000305175781,3490000
2024-09-10,97.5999984741211,97.69999694824219,91.0,93.0,3990000
2024-09-11,93.30000305175781,94.9000015258789,91.5999984741211,91.5999984741211,1408000
2024-09-12,93.19999694824219,96.5,92.5999984741211,94.5999984741211,2345000
2024-09-13,95.0,96.5,95.0,96.4000015258789,1420000
2024-09-16,96.19999694824219,97.69999694824219,96.0,96.0,1642000
2024-09-18,97.0,105.0,96.80000305175781,101.0,5907000
2024-09-19,100.5,103.5,99.5,103.0,2777000
2024-09-20,106.5,108.0,104.0,107.5,6771000
2024-09-23,110.5,118.0,108.5,118.0,18259000
2024-09-24,117.0,119.0,112.0,112.5,10655000
2024-09-25,115.5,119.0,113.5,115.5,10164000
2024-09-26,115.5,116.5,111.0,111.5,3759000
2024-09-27,113.5,117.0,111.5,111.5,5446000
2024-09-30,110.5,110.5,107.5,108.5,2504000
2024-10-01,108.5,110.5,107.5,109.0,1861000
2024-10-04,108.5,109.0,104.5,105.0,2248000
2024-10-07,106.0,110.5,105.5,110.0,2178000
2024-10-08,109.5,110.0,107.5,110.0,1735000
2024-10-09,111.5,112.5,105.0,106.0,3557000
2024-10-11,106.5,108.5,105.0,105.0,1298000
2024-10-14,105.0,107.5,104.0,107.0,1028000
2024-10-15,108.0,109.0,105.0,105.0,1617000
2024-10-16,105.0,108.5,104.0,107.5,1319000
2024-10-17,108.0,109.0,105.0,105.0,1422000
2024-10-18,107.0,107.5,101.0,102.0,2510000
2024-10-21,103.0,112.0,103.0,112.0,7800000
2024-10-22,112.5,116.0,111.5,116.0,10766000
2024-10-23,115.0,116.0,113.5,114.0,3896000
2024-10-24,114.0,114.5,108.5,108.5,3368000
2024-10-25,109.5,113.0,107.0,107.0,2919000
2024-10-28,107.0,108.0,102.0,104.5,2760000
2024-10-29,106.0,107.0,102.0,103.0,2346000
2024-10-30,104.0,104.0,100.5,103.0,1520000
2024-11-01,101.0,105.0,100.0,104.5,1034000
2024-11-04,104.0,109.0,102.5,107.0,1862000
2024-11-05,107.0,110.0,106.0,107.0,1879000
2024-11-06,108.5,112.0,108.0,108.5,5036000
2024-11-07,106.0,106.0,102.5,104.5,3381000
2024-11-08,105.5,112.0,105.5,108.5,6105000
2024-11-11,110.0,113.0,108.0,110.0,3616000
2024-11-12,109.0,109.0,105.5,105.5,1902000
2024-11-13,106.0,108.0,104.5,105.5,1581000
2024-11-14,106.0,107.0,100.0,100.5,3098000
2024-11-15,101.5,102.5,97.19999694824219,98.9000015258789,3292000
2024-11-18,98.0999984741211,98.80000305175781,93.0,93.30000305175781,3291000
2024-11-19,93.5,99.0,93.4000015258789,97.4000015258789,1865000
2024-11-20,97.80000305175781,98.19999694824219,95.5999984741211,95.5999984741211,1073518
2024-11-21,95.69999694824219,96.80000305175781,94.19999694824219,94.80000305175781,1020000
2024-11-22,95.5,97.69999694824219,95.5,95.80000305175781,997000
2024-11-25,97.0,101.0,96.69999694824219,97.5999984741211,1683000
2024-11-26,98.5,98.5,95.30000305175781,96.0,900000
2024-11-27,96.19999694824219,96.9000015258789,91.19999694824219,91.19999694824219,2126000
2024-11-28,91.19999694824219,94.19999694824219,90.5,92.0,1537000
2024-11-29,91.69999694824219,93.5,91.0999984741211,92.69999694824219,649000
2024-12-02,93.0999984741211,93.5,91.30000305175781,92.0999984741211,1078000
2024-12-03,92.69999694824219,95.5,92.69999694824219,93.0999984741211,937000
2024-12-04,93.19999694824219,94.80000305175781,93.19999694824219,94.5,818000
2024-12-05,95.0999984741211,95.0999984741211,93.0,94.0,880000
2024-12-06,95.4000015258789,96.69999694824219,94.0,95.0999984741211,1069000
2024-12-09,95.5,95.5,93.19999694824219,94.5,702000
2024-12-10,93.80000305175781,95.4000015258789,92.0,92.5,783000
2024-12-11,93.0,93.0,91.19999694824219,91.69999694824219,678000
2024-12-12,92.30000305175781,93.5999984741211,91.0999984741211,91.5999984741211,803000
2024-12-13,91.5,91.5999984741211,87.0999984741211,89.9000015258789,1731000
2024-12-16,90.0999984741211,90.4000015258789,86.5,87.19999694824219,1334000
2024-12-17,87.5,88.9000015258789,87.5,88.4000015258789,533000
2024-12-18,88.4000015258789,89.5999984741211,86.5999984741211,89.5999984741211,649000
2024-12-19,87.80000305175781,90.5,87.30000305175781,90.5,562000
